やぼったい,ヤボッタイ
ひもじい,ヒモジイ
肌寒い,ハダサムイ
肌寒い,ハダザムイ
いたわしい,イタワシイ
かたじけない,カタジケナイ
ばかばかしい,バカバカシイ
擽ったい,クスグッタイ
まがまがしい,マガマガシイ
びんない,ビンナイ
気難しい,キムズカシイ
軽軽しい,カルガルシイ
激しい,ハゲシイ
心許ない,ココロモトナイ
ひだるい,ヒダルイ
見苦しい,ミグルシイ
低い,ヒクイ
なまぬるい,ナマヌルイ
惨たらしい,ムゴタラシイ
腥い,ナマグサイ
きしょい,キショイ
小ぎたない,コギタナイ
おもおもしい,オモオモシイ
厚かましい,アツカマシイ
じゅくしくさい,ジュクシクサイ
熱苦しい,アツクルシイ
しちめんどうくさい,シチメンドウクサイ
難い,カタイ
いい,イイ
かんじょうだかい,カンジョウダカイ
わかい,ワカイ
むごたらしい,ムゴタラシイ
なまあたらしい,ナマアタラシイ
白い,シロイ
口堅い,クチガタイ
烏滸がましい,オコガマシイ
弔りしい,リリシイ
おこがましい,オコガマシイ
物がなしい,モノガナシイ
生あたたかい,ナマアタタカイ
悩ましい,ナヤマシイ
メデタい,メデタイ
乏い,トモイ
耳聰い,ミミザトイ
けうとい,ケウトイ
したたるい,シタタルイ
みみざとい,ミミザトイ
照れくさい,テレクサイ
やにっこい,ヤニッコイ
照臭い,テレクサイ
はださむい,ハダサムイ
きわどい,キワドイ
物物しい,モノモノシイ
はかばかしい,ハカバカシイ
素ばやい,スバヤイ
きびしい,キビシイ
ききぐるしい,キキグルシイ
意地汚い,イジキタナイ
えごい,エゴイ
近しい,チカシイ
あじましい,アジマシイ
本意無い,ホイナイ
畏多い,オソレオオイ
なやましい,ナヤマシイ
あまっちょろい,アマッチョロイ
根ぶかい,ネブカイ
めざましい,メザマシイ
なめい,ナメイ
かるい,カルイ
いたいたしい,イタイタシイ
うとましい,ウトマシイ
めんどくさい,メンドクサイ
よい,ヨイ
浅ましい,アサマシイ
こすい,コスイ
おそい,オソイ
いわけない,イワケナイ
冷たい,ツメタイ
強い,ツヨイ
ものすさまじい,モノスサマジイ
むなぐるしい,ムナグルシイ
角々しい,カドカドシイ
こころぐるしい,ココログルシイ
いみい,イミイ
忝ない,カタジケナイ
すげない,スゲナイ
危なっかしい,アブナッカシイ
きまずい,キマズイ
ほのぐらい,ホノグライ
みだりがわしい,ミダリガワシイ
えぐい,エグイ
面倒い,メンドウイ
あらい,アライ
吝い,シワイ
あさぐろい,アサグロイ
うとい,ウトイ
恥い,ヤサイ
しぶい,シブイ
胸ぐるしい,ムナグルシイ
たらしい,タラシイ
もだしがたい,モダシガタイ
軽々しい,カルガルシイ
しるい,シルイ
なまめかしい,ナマメカシイ
のこりおおい,ノコリオオイ
しんぼうづよい,シンボウヅヨイ
敏い,サトイ
やり切れない,ヤリキレナイ
仲良い,ナカヨイ
心許無い,ココロモトナイ
小ざかしい,コザカシイ
なまあたたかい,ナマアタタカイ
潔い,イサギヨイ
たやすい,タヤスイ
生易しい,ナマヤサシイ
根づよい,ネヅヨイ
根づよい,ネヅヨイ
深い,フカイ
逞しい,タクマシイ
恐い,コワイ
うすじろい,ウスジロイ
紛らわしい,マギラワシイ
猛だけしい,タケダケシイ
重たい,オモタイ
まめまめしい,マメマメシイ
我慢強い,ガマンヅヨイ
カッコイー,カッコイー
ひやっこい,ヒヤッコイ
たのみすくない,タノミスクナイ
おんならしい,オンナラシイ
涙ぐましい,ナミダグマシイ
弛い,タユイ
うらはずかしい,ウラハズカシイ
なにげない,ナニゲナイ
気味悪い,キミワルイ
忘がたい,ワスレガタイ
ほど近い,ホドチカイ
いかつい,イカツイ
紅い,アカイ
分厚い,ブアツイ
しぶとい,シブトイ
おどろおどろしい,オドロオドロシイ
すけない,スケナイ
金臭い,カナクサイ
やましい,ヤマシイ
ぎこちない,ギコチナイ
容易い,タヤスイ
いぎたない,イギタナイ
かゆい,カユイ
粘強い,ネバリヅヨイ
うら若い,ウラワカイ
わざとがましい,ワザトガマシイ
あくどい,アクドイ
おかしい,オカシイ
くちうるさい,クチウルサイ
腹ぎたない,ハラギタナイ
格好いい,カッコウイイ
うす汚い,ウスギタナイ
そらはずかしい,ソラハズカシイ
いがらっぽい,イガラッポイ
ひくい,ヒクイ
めざとい,メザトイ
薄気味悪い,ウスキミワルイ
済まない,スマナイ
残り少ない,ノコリスクナイ
こやかましい,コヤカマシイ
七面倒臭い,シチメンドウクサイ
花花しい,ハナバナシイ
こす辛い,コスカライ
かたはらいたい,カタハライタイ
おぼつかない,オボツカナイ
みずっぽい,ミズッポイ
ねがわしい,ネガワシイ
みずみずしい,ミズミズシイ
しかつめらしい,シカツメラシイ
まばゆい,マバユイ
まあたらしい,マアタラシイ
しりこそばゆい,シリコソバユイ
にくたらしい,ニクタラシイ
柔らかい,ヤワラカイ
高い,タカイ
狂おしい,クルオシイ
冷っこい,ヒヤッコイ
わかわかしい,ワカワカシイ
だだっぴろい,ダダッピロイ
口うるさい,クチウルサイ
詮無い,センナイ
ことあたらしい,コトアタラシイ
息ぐるしい,イキグルシイ
等しい,ヒトシイ
恐れおおい,オソレオオイ
物すさまじい,モノスサマジイ
小ぜわしい,コゼワシイ
回りくどい,マワリクドイ
旧い,フルイ
小はずかしい,コハズカシイ
仰々しい,ギョウギョウシイ
近い,チカイ
すばやい,スバヤイ
手強い,テヅヨイ
手強い,テゴワイ
恙無い,ツツガナイ
はれがましい,ハレガマシイ
狂わしい,クルワシイ
目ばゆい,マバユイ
せつない,セツナイ
荒々しい,アラアラシイ
寝穢い,イギタナイ
明い,アカイ
さわがしい,サワガシイ
ものめずらしい,モノメズラシイ
かっこよい,カッコヨイ
せまくるしい,セマクルシイ
ごつい,ゴツイ
そらおそろしい,ソラオソロシイ
疑いぶかい,ウタガイブカイ
安い,ヤスイ
てあつい,テアツイ
あじきない,アジキナイ
手速い,テバヤイ
聞き辛い,キキヅライ
刺刺しい,トゲトゲシイ
物狂おしい,モノグルオシイ
ほいない,ホイナイ
ふかあい,フカアイ
バタ臭い,バタクサイ
うすぐろい,ウスグロイ
危うい,アヤウイ
好い,ヨイ
ながい,ナガイ
こぶかい,コブカイ
てがるい,テガルイ
臭い,クサイ
大人しい,オトナシイ
このもしい,コノモシイ
こっ酷い,コッピドイ
せせこましい,セセコマシイ
むさい,ムサイ
少ない,スクナイ
よぎない,ヨギナイ
きたならしい,キタナラシイ
わかり易い,ワカリヤスイ
悪しい,アシイ
胸苦しい,ムナグルシイ
たまらない,タマラナイ
露けい,ツユケイ
労労い,ロウロウイ
苦い,ニガイ
世知辛い,セチガライ
みみあたらしい,ミミアタラシイ
くちおしい,クチオシイ
ゆかしい,ユカシイ
たのしい,タノシイ
おほけない,オホケナイ
逸早い,イチハヤイ
うつくしい,ウツクシイ
たっとい,タットイ
忙しない,セワシナイ
はやい,ハヤイ
うるわしい,ウルワシイ
委しい,クワシイ
よい,ヨイ
見よい,ミヨイ
くちはばったい,クチハバッタイ
泥臭い,ドロクサイ
かたい,カタイ
うら淋しい,ウラサビシイ
あおい,アオイ
あつぼったい,アツボッタイ
物堅い,モノガタイ
しおらしい,シオラシイ
惨い,ムゴイ
細かしい,コマカシイ
深い,ブカイ
バカバカしい,バカバカシイ
多い,オオイ
愛くるしい,アイクルシイ
脆い,モロイ
かたくるしい,カタクルシイ
空々しい,ソラゾラシイ
小賢しい,コザカシイ
